Track Name,Acousticness,Danceability,Duration,Energy,Instrumentalness,Loudness,Speechiness,Tempo,Valence
tolerate it,0.878,0.316,245440,0.361,2.67e-05,-10.381,0.0488,74.952,0.221
"no body, no crime (feat. HAIM)",0.418,0.546,215627,0.613,0,-7.589,0.0264,79.015,0.535
happiness,0.87,0.559,315147,0.334,0,-10.733,0.0376,122.079,0.211
dorothea,0.696,0.605,225880,0.488,0,-8.322,0.0264,119.966,0.354
coney island (feat. The National),0.819,0.537,275320,0.537,0.000904,-11.266,0.0617,107.895,0.292
ivy,0.855,0.515,260440,0.545,1.97e-05,-9.277,0.0353,88.856,0.535
cowboy like me,0.768,0.604,275040,0.517,0.000155,-9.014,0.0347,127.967,0.511
long story short,0.66,0.546,215920,0.73,0.179,-7.704,0.0417,157.895,0.573
marjorie,0.876,0.535,257773,0.561,0.000136,-11.609,0.0484,96.103,0.287
closure,0.835,0.689,180653,0.704,4.83e-06,-10.813,0.245,151.884,0.92
evermore (feat. Bon Iver),0.937,0.39,304107,0.27,0.00227,-10.673,0.0308,125.177,0.32
the 1,0.75,0.78,210240,0.361,7.14e-06,-6.942,0.048,139.902,0.163
cardigan,0.525,0.612,239560,0.58,0.000414,-8.572,0.0419,130.045,0.534
the last great american dynasty,0.481,0.688,231000,0.653,0.00414,-8.558,0.0403,147.991,0.701
exile (feat. Bon Iver),0.761,0.31,285640,0.374,2.46e-05,-8.464,0.0275,75.938,0.16
my tears ricochet,0.814,0.456,255893,0.265,0,-10.663,0.0328,129.947,0.112
mirrorball,0.686,0.549,208973,0.417,1.9e-06,-10.064,0.035,110.137,0.347
seven,0.888,0.602,208907,0.494,2.59e-05,-10.813,0.0277,94.955,0.374
august,0.553,0.387,261920,0.634,6.93e-05,-9.222,0.0363,89.567,0.42
this is me trying,0.312,0.511,195107,0.478,2.3e-05,-9.837,0.0322,135.882,0.408
illicit affairs,0.862,0.529,190893,0.304,0,-10.567,0.0356,119.58,0.44
invisible string,0.859,0.651,252880,0.459,6.63e-05,-11.128,0.0507,83.455,0.454
mad woman,0.67,0.593,237267,0.7,6.77e-06,-9.016,0.0492,141.898,0.451
epiphany,0.727,0.317,289747,0.254,0.000326,-13.679,0.0286,93.933,0.103
betty,0.589,0.595,294520,0.376,0,-8.767,0.0256,95.946,0.476
peace,0.916,0.644,234000,0.284,1.5e-05,-12.879,0.0821,150.072,0.328
hoax,0.964,0.676,220040,0.178,7.9e-06,-15.01,0.0394,118.84,0.404
the lakes - bonus track,0.842,0.313,211813,0.258,1.3e-06,-11.532,0.0383,179.947,0.268
the 1 - the long pond studio sessions,0.898,0.708,219893,0.25,0.026,-10.731,0.0361,139.803,0.156
cardigan - the long pond studio sessions,0.88,0.395,230680,0.234,0,-9.704,0.0382,86.478,0.247
the last great american dynasty - the long pond studio sessions,0.743,0.64,232347,0.618,0.004,-11.715,0.0379,147.948,0.614
exile (feat. Bon Iver) - the long pond studio sessions,0.848,0.359,279893,0.305,6.74e-05,-10.295,0.0306,151.956,0.108
my tears ricochet - the long pond studio sessions,0.946,0.531,295173,0.172,1.01e-05,-12.34,0.0351,129.007,0.168
mirrorball - the long pond studio sessions,0.78,0.509,237373,0.386,3.45e-05,-8.434,0.0272,109.993,0.109
seven - the long pond studio sessions,0.914,0.694,208987,0.449,0.000126,-11.49,0.0301,94.963,0.363
august - the long pond studio sessions,0.5,0.554,260000,0.663,4.77e-05,-8.961,0.0324,89.977,0.545
this is me trying - the long pond studio sessions,0.928,0.435,209293,0.332,0.000898,-11.611,0.031,68.097,0.157
illicit affairs - the long pond studio sessions,0.883,0.489,183720,0.235,0,-10.274,0.0356,117.699,0.435
invisible string - the long pond studio sessions,0.942,0.59,257360,0.282,4.85e-06,-10.542,0.0281,83.438,0.351
mad woman - the long pond studio sessions,0.887,0.663,238333,0.465,0.000168,-10.463,0.0408,141.834,0.346
epiphany - the long pond studio sessions,0.916,0.524,274880,0.2,0.000392,-13.004,0.0274,93.87,0.113
betty - the long pond studio sessions,0.841,0.538,290040,0.316,0,-9.5,0.0299,95.68,0.518
peace - the long pond studio sessions,0.93,0.619,214373,0.344,7.61e-05,-11.472,0.0647,149.897,0.513
hoax - the long pond studio sessions,0.962,0.682,221800,0.155,0,-13.083,0.0394,118.832,0.483
the lakes - the long pond studio sessions,0.794,0.606,199733,0.221,0,-11.767,0.0468,89.844,0.112
the 1,0.75,0.78,210240,0.361,7.14e-06,-6.942,0.048,139.902,0.163
cardigan,0.525,0.612,239560,0.58,0.000414,-8.572,0.0419,130.045,0.534
the last great american dynasty,0.481,0.688,231000,0.653,0.00414,-8.558,0.0403,147.991,0.701
exile (feat. Bon Iver),0.761,0.31,285640,0.374,2.46e-05,-8.464,0.0275,75.938,0.16
my tears ricochet,0.814,0.456,255893,0.265,0,-10.663,0.0328,129.947,0.112
mirrorball,0.686,0.549,208973,0.417,1.9e-06,-10.064,0.035,110.137,0.347
seven,0.888,0.602,208907,0.494,2.59e-05,-10.813,0.0277,94.955,0.374
august,0.553,0.387,261920,0.634,6.93e-05,-9.222,0.0363,89.567,0.42
this is me trying,0.312,0.511,195107,0.478,2.3e-05,-9.837,0.0322,135.882,0.408
illicit affairs,0.862,0.529,190893,0.304,0,-10.567,0.0356,119.58,0.44
invisible string,0.859,0.651,252880,0.459,6.63e-05,-11.128,0.0507,83.455,0.454
mad woman,0.67,0.593,237267,0.7,6.77e-06,-9.016,0.0492,141.898,0.451
epiphany,0.727,0.317,289747,0.254,0.000326,-13.679,0.0286,93.933,0.103
betty,0.589,0.595,294520,0.376,0,-8.767,0.0256,95.946,0.476
peace,0.916,0.644,234000,0.284,1.5e-05,-12.879,0.0821,150.072,0.328
hoax,0.964,0.676,220040,0.178,7.9e-06,-15.01,0.0394,118.84,0.404
the lakes - bonus track,0.842,0.313,211813,0.258,1.3e-06,-11.532,0.0383,179.947,0.268
the 1,0.757,0.777,210252,0.357,7.28e-06,-6.942,0.0522,139.883,0.172
cardigan,0.537,0.613,239560,0.581,0.000345,-8.588,0.0424,130.033,0.551
the last great american dynasty,0.467,0.686,230999,0.662,0.0023,-8.505,0.0413,147.922,0.706
exile (feat. Bon Iver),0.778,0.298,285634,0.38,5.62e-05,-8.426,0.0287,75.602,0.152
my tears ricochet,0.806,0.456,255894,0.263,0,-10.63,0.0332,129.86,0.111
mirrorball,0.687,0.553,208978,0.413,2.33e-06,-10.037,0.0334,110.107,0.379
seven,0.9,0.596,208907,0.488,2.7e-05,-10.769,0.0274,94.926,0.415
august,0.538,0.532,261923,0.623,7.28e-05,-9.208,0.0331,89.937,0.403
this is me trying,0.314,0.515,195097,0.476,4.74e-05,-9.843,0.0328,135.886,0.412
illicit affairs,0.881,0.559,190898,0.31,0,-10.445,0.0338,119.845,0.46
invisible string,0.838,0.653,252881,0.452,7.73e-05,-11.143,0.055,83.433,0.45
mad woman,0.655,0.592,237258,0.699,1.68e-05,-8.995,0.0471,141.916,0.506
